 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : parallel
Version: K-2015.06-SP4
Date   : Sun Dec 10 19:40:52 2017
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

  Startpoint: z_reg[0][31]
              (rising edge-triggered flip-flop clocked by c)
  Endpoint: sine[15] (output port)
  Path Group: default
  Path Type: max

  Point                                                   Incr       Path
  U6631/Y (AND2X2)                                        0.03       6.72 f
  U8657/Y (INVX1)                                         0.00       6.72 r
  U8770/Y (AND2X2)                                        0.03       6.75 r
  U8771/Y (INVX1)                                         0.01       6.76 f
  U8757/Y (AND2X2)                                        0.04       6.80 f
  U8758/Y (INVX1)                                         0.00       6.80 r
  U12375/Y (OAI21X1)                                      0.01       6.82 f
  U9069/Y (OR2X1)                                         0.04       6.86 f
  U8862/Y (AND2X2)                                        0.04       6.90 f
  U9084/Y (INVX1)                                         0.00       6.90 r
  U8192/Y (AND2X2)                                        0.03       6.93 r
  U9177/Y (INVX1)                                         0.02       6.95 f
  U6623/Y (OAI21X1)                                       0.04       6.99 r
  U7851/Y (OAI21X1)                                       0.02       7.01 f
  U12449/Y (OAI21X1)                                      0.04       7.05 r
  U12450/Y (OAI21X1)                                      0.02       7.08 f
  U8109/Y (INVX1)                                         0.01       7.09 r
  U8934/Y (AND2X2)                                        0.03       7.12 r
  U8728/Y (AND2X2)                                        0.03       7.15 r
  U8729/Y (INVX1)                                         0.01       7.16 f
  U12480/Y (OAI21X1)                                      0.02       7.18 r
  U12481/Y (AOI21X1)                                      0.02       7.20 f
  U8673/Y (BUFX2)                                         0.04       7.24 f
  U8042/Y (AND2X2)                                        0.03       7.27 f
  U7777/Y (INVX1)                                         0.01       7.28 r
  U10759/Y (INVX1)                                        0.02       7.30 f
  U8061/Y (OAI21X1)                                       0.05       7.34 r
  U8098/Y (INVX2)                                         0.02       7.36 f
  U12543/Y (OAI21X1)                                      0.04       7.41 r
  U10002/Y (AND2X2)                                       0.03       7.44 r
  U10003/Y (INVX1)                                        0.02       7.46 f
  U12561/Y (NAND3X1)                                      0.03       7.49 r
  U8717/Y (BUFX2)                                         0.04       7.53 r
  U12562/Y (OAI21X1)                                      0.01       7.54 f
  U8818/Y (AND2X2)                                        0.03       7.58 f
  U8819/Y (INVX1)                                         0.00       7.58 r
  U12604/Y (OAI21X1)                                      0.02       7.60 f
  U12644/Y (NAND3X1)                                      0.03       7.63 r
  U10005/Y (BUFX2)                                        0.04       7.67 r
  U10122/Y (INVX1)                                        0.02       7.68 f
  U9832/Y (AND2X2)                                        0.04       7.72 f
  U9833/Y (INVX1)                                         0.00       7.72 r
  U12683/Y (OAI21X1)                                      0.02       7.73 f
  U12706/Y (NAND3X1)                                      0.03       7.77 r
  U8674/Y (BUFX2)                                         0.03       7.80 r
  U9338/Y (AND2X2)                                        0.03       7.83 r
  U8180/Y (OR2X2)                                         0.04       7.87 r
  U12721/Y (AOI22X1)                                      0.03       7.90 f
  U8911/Y (BUFX2)                                         0.04       7.94 f
  U12722/Y (XNOR2X1)                                      0.04       7.98 r
  U8095/Y (MUX2X1)                                        0.02       8.00 f
  sine[15] (out)                                          0.00       8.00 f
  data arrival time                                                  8.00

  max_delay                                               8.00       8.00
  output external delay                                   0.00       8.00
  data required time                                                 8.00
  --------------------------------------------------------------------------
  data required time                                                 8.00
  data arrival time                                                 -8.00
  --------------------------------------------------------------------------
  slack (MET)                                                        0.00


